MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230404,Southeast,47.54,52.46,16.67,10.70,0.88,0.00,2023-04-04,2023-04-10,1
20230404,West,58.87,41.13,20.66,5.20,0.83,0.04,2023-04-04,2023-04-10,1
20230328,High Plains,22.34,77.66,53.33,26.83,14.11,6.72,2023-03-28,2023-04-03,1
20230328,Midwest,83.78,16.22,6.29,1.78,0.17,0.06,2023-03-28,2023-04-03,1
20230328,Northeast,92.34,7.66,1.30,0.00,0.00,0.00,2023-03-28,2023-04-03,1
20230328,South,48.07,51.93,42.06,29.90,13.72,3.62,2023-03-28,2023-04-03,1
20230328,Southeast,52.99,47.01,16.52,8.43,0.88,0.00,2023-03-28,2023-04-03,1
20230328,West,56.71,43.29,23.80,6.15,0.83,0.12,2023-03-28,2023-04-03,1
20230321,High Plains,20.46,79.54,54.37,26.92,14.28,6.67,2023-03-21,2023-03-27,1
20230321,Midwest,83.47,16.53,6.76,1.78,0.17,0.06,2023-03-21,2023-03-27,1
20230321,Northeast,95.91,4.09,0.00,0.00,0.00,0.00,2023-03-21,2023-03-27,1
20230321,South,49.08,50.92,41.23,28.66,12.06,3.08,2023-03-21,2023-03-27,1
20230321,Southeast,61.63,38.37,15.08,3.54,0.00,0.00,2023-03-21,2023-03-27,1
20230321,West,53.73,46.27,30.59,8.61,0.89,0.10,2023-03-21,2023-03-27,1
20230314,High Plains,20.35,79.65,55.14,27.38,14.28,6.67,2023-03-14,2023-03-20,1
20230314,Midwest,83.49,16.51,7.41,1.75,0.17,0.06,2023-03-14,2023-03-20,1
20230314,Northeast,98.29,1.71,0.00,0.00,0.00,0.00,2023-03-14,2023-03-20,1
20230314,South,49.28,50.72,41.50,27.74,12.06,2.11,2023-03-14,2023-03-20,1
20230314,Southeast,67.24,32.76,14.65,1.91,0.00,0.00,2023-03-14,2023-03-20,1
20230314,West,52.71,47.29,32.31,10.87,1.49,0.10,2023-03-14,2023-03-20,1
20230307,High Plains,19.93,80.07,57.11,27.28,14.28,6.45,2023-03-07,2023-03-13,1
20230307,Midwest,80.36,19.64,9.52,1.75,0.17,0.06,2023-03-07,2023-03-13,1
20230307,Northeast,98.29,1.71,0.00,0.00,0.00,0.00,2023-03-07,2023-03-13,1
20230307,South,48.32,51.68,40.88,24.81,11.65,2.11,2023-03-07,2023-03-13,1
20230307,Southeast,65.00,35.00,16.76,0.76,0.00,0.00,2023-03-07,2023-03-13,1
20230307,West,50.32,49.68,34.13,13.58,1.59,0.10,2023-03-07,2023-03-13,1
20230228,High Plains,19.35,80.65,59.24,27.09,15.20,6.61,2023-02-28,2023-03-06,1
20230228,Midwest,77.43,22.57,10.19,2.31,0.18,0.06,2023-02-28,2023-03-06,1
20230228,Northeast,94.27,5.73,0.00,0.00,0.00,0.00,2023-02-28,2023-03-06,1
20230228,South,48.42,51.58,40.44,23.61,11.07,2.11,2023-02-28,2023-03-06,1
20230228,Southeast,77.04,22.96,13.27,0.00,0.00,0.00,2023-02-28,2023-03-06,1
20230228,West,49.40,50.60,35.79,14.93,2.07,0.10,2023-02-28,2023-03-06,1
20230221,High Plains,18.27,81.73,62.84,28.03,15.33,7.14,2023-02-21,2023-02-27,1
20230221,Midwest,70.76,29.24,13.80,3.35,0.18,0.06,2023-02-21,2023-02-27,1
20230221,Northeast,96.42,3.58,0.00,0.00,0.00,0.00,2023-02-21,2023-02-27,1
20230221,South,49.06,50.94,39.57,23.25,9.78,2.11,2023-02-21,2023-02-27,1
20230221,Southeast,79.62,20.38,6.46,0.00,0.00,0.00,2023-02-21,2023-02-27,1
20230221,West,46.34,53.66,40.32,16.11,2.12,0.10,2023-02-21,2023-02-27,1
20230214,High Plains,16.61,83.39,62.90,29.03,15.55,7.59,2023-02-14,2023-02-20,1
20230214,Midwest,70.19,29.81,16.30,5.39,0.97,0.06,2023-02-14,2023-02-20,1
20230214,Northeast,96.04,3.96,0.00,0.00,0.00,0.00,2023-02-14,2023-02-20,1
20230214,South,48.60,51.40,38.42,24.04,9.61,1.99,2023-02-14,2023-02-20,1
20230214,Southeast,82.14,17.86,6.46,0.00,0.00,0.00,2023-02-14,2023-02-20,1
20230214,West,46.64,53.36,39.63,16.39,2.12,0.10,2023-02-14,2023-02-20,1
20230207,High Plains,16.08,83.92,65.09,30.86,16.90,7.59,2023-02-07,2023-02-13,1
20230207,Midwest,62.86,37.14,17.54,5.71,1.00,0.06,2023-02-07,2023-02-13,1
20230207,Northeast,96.50,3.50,0.00,0.00,0.00,0.00,2023-02-07,2023-02-13,1
20230207,South,46.52,53.48,38.26,25.03,11.47,2.42,2023-02-07,2023-02-13,1
20230207,Southeast,77.06,22.94,6.09,1.55,0.00,0.00,2023-02-07,2023-02-13,1
20230207,West,45.12,54.88,39.67,16.28,2.39,0.10,2023-02-07,2023-02-13,1
20230131,High Plains,16.96,83.04,64.72,33.25,17.12,7.57,2023-01-31,2023-02-06,1
20230131,Midwest,59.61,40.39,17.82,5.71,1.00,0.06,2023-01-31,2023-02-06,1
20230131,Northeast,96.83,3.17,0.21,0.00,0.00,0.00,2023-01-31,2023-02-06,1
20230131,South,43.48,56.52,38.48,25.00,11.40,2.26,2023-01-31,2023-02-06,1
20230131,Southeast,71.78,28.22,8.18,1.48,0.00,0.00,2023-01-31,2023-02-06,1
20230131,West,45.52,54.48,40.53,19.27,4.26,0.09,2023-01-31,2023-02-06,1
20230124,High Plains,15.12,84.88,64.87,33.80,17.23,7.57,2023-01-24,2023-01-30,1
20230124,Midwest,56.01,43.99,17.98,5.73,1.00,0.06,2023-01-24,2023-01-30,1
20230124,Northeast,95.28,4.72,0.21,0.00,0.00,0.00,2023-01-24,2023-01-30,1
20230124,South,42.13,57.87,39.71,25.83,11.60,2.48,2023-01-24,2023-01-30,1
20230124,Southeast,71.01,28.99,13.92,1.85,0.00,0.00,2023-01-24,2023-01-30,1
20230124,West,44.93,55.07,39.85,19.32,4.29,0.09,2023-01-24,2023-01-30,1
20230117,High Plains,13.84,86.16,66.00,35.08,18.04,7.66,2023-01-17,2023-01-23,1
20230117,Midwest,50.91,49.09,18.94,5.73,1.00,0.06,2023-01-17,2023-01-23,1
20230117,Northeast,94.05,5.95,0.21,0.00,0.00,0.00,2023-01-17,2023-01-23,1
20230117,South,42.75,57.25,39.71,25.74,11.60,2.48,2023-01-17,2023-01-23,1
20230117,Southeast,65.74,34.26,20.79,3.56,0.00,0.00,2023-01-17,2023-01-23,1
20230117,West,44.05,55.95,39.84,21.68,5.00,0.09,2023-01-17,2023-01-23,1
20230110,High Plains,13.56,86.44,65.81,36.62,18.04,7.66,2023-01-10,2023-01-16,1
20230110,Midwest,50.46,49.54,19.05,5.78,1.00,0.06,2023-01-10,2023-01-16,1
20230110,Northeast,92.61,7.39,0.21,0.00,0.00,0.00,2023-01-10,2023-01-16,1
20230110,South,41.53,58.47,38.21,24.58,11.51,2.48,2023-01-10,2023-01-16,1
20230110,Southeast,64.79,35.21,19.45,4.03,0.00,0.00,2023-01-10,2023-01-16,1
20230110,West,42.09,57.91,40.60,22.97,5.85,0.09,2023-01-10,2023-01-16,1
20230103,High Plains,13.54,86.46,66.35,37.03,18.35,7.83,2023-01-03,2023-01-09,1
20230103,Midwest,43.26,56.74,28.01,7.67,1.00,0.06,2023-01-03,2023-01-09,1
20230103,Northeast,90.64,9.36,0.21,0.00,0.00,0.00,2023-01-03,2023-01-09,1
20230103,South,39.16,60.84,37.91,24.21,11.22,2.36,2023-01-03,2023-01-09,1
20230103,Southeast,58.28,41.72,20.33,4.97,0.00,0.00,2023-01-03,2023-01-09,1
20230103,West,41.10,58.90,41.75,25.97,8.29,0.18,2023-01-03,2023-01-09,1
20221227,High Plains,8.13,91.87,68.71,40.95,20.24,8.67,2022-12-27,2023-01-02,1
20221227,Midwest,32.66,67.34,37.11,7.93,1.00,0.06,2022-12-27,2023-01-02,1
20221227,Northeast,90.59,9.41,0.21,0.00,0.00,0.00,2022-12-27,2023-01-02,1
20221227,South,31.51,68.49,43.61,23.84,11.07,2.18,2022-12-27,2023-01-02,1
20221227,Southeast,58.15,41.85,21.72,5.46,0.00,0.00,2022-12-27,2023-01-02,1
20221227,West,38.68,61.32,42.97,29.28,9.41,0.85,2022-12-27,2023-01-02,1
20221220,High Plains,8.65,91.35,68.91,40.95,20.24,8.67,2022-12-20,2022-12-26,1
20221220,Midwest,34.89,65.11,33.66,7.93,1.00,0.06,2022-12-20,2022-12-26,1
20221220,Northeast,90.49,9.51,1.44,0.00,0.00,0.00,2022-12-20,2022-12-26,1
