AreaOfInterest,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,AreaMiles,MapDate
CONUS,8.15,"245,102.91","34,784,253.81",11.38,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-07-04
CONUS,4.28,"128,847.34","22,046,926.49",7.21,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-07-04
CONUS,1.26,"37,926.79","3,584,709.57",1.17,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-07-04
CONUS,43.57,"1,310,375.70","83,319,023.49",27.26,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-07-11
CONUS,20.31,"610,873.81","53,468,825.27",17.49,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-07-11
CONUS,8.11,"243,860.40","35,780,802.97",11.71,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-07-11
CONUS,4.65,"139,790.23","21,931,450.36",7.18,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-07-11
CONUS,1.65,"49,502.05","4,604,934.06",1.51,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-07-11
CONUS,49.46,"1,487,392.28","107,469,262.33",35.16,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-07-18
CONUS,22.38,"672,918.46","60,513,275.36",19.80,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-07-18
CONUS,8.77,"263,726.37","36,237,427.82",11.86,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-07-18
CONUS,5.43,"163,288.53","23,296,887.95",7.62,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-07-18
CONUS,2.12,"63,654.19","6,621,819.69",2.17,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-07-18
CONUS,49.87,"1,499,706.81","105,291,499.12",34.45,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-07-25
CONUS,22.86,"687,483.52","61,425,613.37",20.10,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-07-25
CONUS,9.32,"280,326.96","39,279,871.76",12.85,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-07-25
CONUS,5.19,"156,111.57","20,865,122.95",6.83,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-07-25
CONUS,2.59,"77,847.60","12,660,605.61",4.14,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-07-25
CONUS,49.67,"1,493,734.02","102,878,233.01",33.66,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-08-01
CONUS,24.11,"725,237.19","63,779,766.03",20.87,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-08-01
CONUS,10.36,"311,635.95","39,331,495.92",12.87,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-08-01
CONUS,4.91,"147,782.16","19,075,540.71",6.24,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-08-01
CONUS,2.41,"72,430.83","11,270,087.06",3.69,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-08-01
CONUS,51.13,"1,537,736.85","101,018,173.10",33.05,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-08-08
CONUS,24.50,"736,824.88","62,720,072.15",20.52,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-08-08
CONUS,10.76,"323,514.91","36,731,842.58",12.02,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-08-08
CONUS,4.47,"134,379.93","18,457,843.88",6.04,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-08-08
CONUS,2.14,"64,217.61","8,930,171.39",2.92,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-08-08
CONUS,51.63,"1,552,724.90","104,745,531.49",34.27,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-08-15
CONUS,27.51,"827,218.41","68,102,368.65",22.28,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-08-15
CONUS,13.01,"391,196.10","34,288,578.70",11.22,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-08-15
CONUS,4.39,"131,965.43","17,705,680.34",5.79,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-08-15
CONUS,1.98,"59,694.69","8,567,864.91",2.80,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-08-15
CONUS,50.10,"1,506,779.35","100,029,832.96",32.73,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-08-22
CONUS,29.13,"876,065.39","72,204,968.56",23.62,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-08-22
CONUS,13.89,"417,729.74","38,557,059.82",12.61,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-08-22
CONUS,5.39,"162,026.18","19,710,468.20",6.45,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-08-22
CONUS,2.39,"71,966.57","9,282,788.82",3.04,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-08-22
CONUS,56.28,"1,692,592.32","105,181,847.95",34.41,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-08-29
CONUS,32.20,"968,532.04","73,640,725.18",24.09,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-08-29
CONUS,15.74,"473,471.06","45,894,064.98",15.01,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-08-29
CONUS,6.85,"205,993.21","23,599,206.79",7.72,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-08-29
CONUS,2.47,"74,139.89","9,401,365.34",3.08,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-08-29
CONUS,57.23,"1,721,193.64","107,726,943.42",35.24,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-09-05
CONUS,34.65,"1,042,161.75","76,281,059.99",24.96,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-09-05
CONUS,19.31,"580,775.16","55,036,183.98",18.01,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-09-05
CONUS,8.06,"242,510.76","23,052,517.97",7.54,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-09-05
CONUS,2.61,"78,480.11","8,251,306.30",2.70,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-09-05
CONUS,56.27,"1,692,154.53","106,320,668.78",34.78,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-09-12
CONUS,38.50,"1,157,971.40","82,291,873.96",26.92,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-09-12
CONUS,24.18,"727,142.34","63,370,573.36",20.73,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-09-12
CONUS,8.88,"267,113.11","26,024,209.17",8.51,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-09-12
CONUS,1.71,"51,572.82","4,577,604.45",1.50,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-09-12
CONUS,58.38,"1,755,813.12","107,492,326.81",35.17,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-09-19
CONUS,39.81,"1,197,205.84","81,735,004.84",26.74,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-09-19
CONUS,26.15,"786,459.53","58,219,072.37",19.05,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-09-19
