RegionalClimateCenterId,PercentCurrent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
1,4.64,"23,617.39",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-01-16
1,0.73,"3,699.63",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-01-16
1,42.57,"216,815.31",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-01-23
1,5.89,"29,990.61",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-01-23
1,1.67,"8,500.03",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-01-23
1,33.81,"172,201.99",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-01-30
1,4.34,"22,093.48",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-01-30
1,0.95,"4,834.33",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-01-30
1,31.46,"160,260.10",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-02-06
1,4.34,"22,093.48",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-02-06
1,0.95,"4,834.33",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-02-06
1,27.24,"138,775.27",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-02-13
1,9.18,"46,758.91",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-02-13
1,27.39,"139,524.07",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-02-20
1,8.87,"45,179.97",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-02-20
1,23.99,"122,207.74",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-02-27
1,8.47,"43,130.21",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-02-27
1,23.42,"119,270.71",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-03-06
1,8.44,"43,009.87",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-03-06
1,26.52,"135,087.88",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-03-13
1,8.44,"43,009.91",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-03-13
1,1.68,"8,541.66",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-03-13
1,26.28,"133,879.35",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-03-20
1,8.94,"45,519.20",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-03-20
1,1.68,"8,541.66",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-03-20
1,26.28,"133,879.35",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-03-27
1,8.94,"45,519.20",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-03-27
1,1.68,"8,541.66",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-03-27
1,26.18,"133,368.89",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-04-03
1,5.44,"27,694.24",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-04-03
1,1.10,"5,580.83",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-04-03
1,23.54,"119,903.35",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-04-10
1,5.52,"28,141.28",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-04-10
1,1.10,"5,580.83",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-04-10
1,19.48,"99,234.01",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-04-17
1,5.52,"28,141.92",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-04-17
1,1.10,"5,580.83",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-04-17
1,16.67,"84,895.58",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-04-24
1,5.52,"28,141.92",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-04-24
1,1.10,"5,580.83",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-04-24
1,14.48,"73,743.65",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-05-01
1,5.52,"28,141.74",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-05-01
1,1.10,"5,580.83",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-05-01
1,13.74,"69,967.92",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-05-08
1,5.52,"28,141.74",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-05-08
1,1.10,"5,580.83",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-05-08
1,14.32,"72,957.17",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-05-15
1,7.65,"38,969.83",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-05-15
1,1.75,"8,903.71",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2001-05-15
1,14.26,"72,655.10",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2001-05-22
1,7.65,"38,969.81",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2001-05-22
